OID_,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity,dist_attractions,dist_city,airbnb_count,average_price,poi_count,transport_count,hotel_count
2022,34879512.000000000000000,3074414,94,95.000000000000000,f,t,t,47.659289999999999,-122.316050000000004,3,1.000000000000000,1.000000000000000,2.000000000000000,114.000000000000000,30.000000000000000,1125.000000000000000,3.670000000000000,3.330000000000000,3.670000000000000,4.330000000000000,4.000000000000000,4.670000000000000,4.330000000000000,f,115,4,3,f,t,2,28,3787,-1.110000000000000,-1.980000000000000,-3.090000000000000,578.352345310859050,6255.263743981809966,98,123.234693877551024,266,37.000000000000000,2
2023,34891924.000000000000000,217792435,100,99.000000000000000,f,t,t,47.527324999999998,-122.286911000000003,10,2.000000000000000,3.000000000000000,5.000000000000000,235.000000000000000,4.500000000000000,1125.000000000000000,4.680000000000000,4.810000000000000,4.770000000000000,4.870000000000000,4.870000000000000,4.740000000000000,4.720000000000000,f,1,5,3,t,t,2,47,1533,-0.540000000000000,1.000000000000000,0.460000000000000,1178.679534845261742,9104.895560689688864,10,117.500000000000000,1,2.000000000000000,0
2024,34907038.000000000000000,1526315,100,96.000000000000000,t,t,t,47.689308166503913,-122.341468811035156,2,1.000000000000000,1.000000000000000,1.000000000000000,223.000000000000000,1.000000000000000,355.000000000000000,4.960000000000000,4.980000000000000,4.960000000000000,5.000000000000000,5.000000000000000,4.940000000000000,4.920000000000000,f,2,5,3,t,t,3,75,4006,-0.250000000000000,-0.600000000000000,-0.850000000000000,2275.339150475309907,9542.089276488473843,25,175.360000000000014,25,14.000000000000000,0
2025,34912079.000000000000000,173100599,100,100.000000000000000,t,t,f,47.638080000000002,-122.360230000000001,3,1.000000000000000,1.000000000000000,1.000000000000000,109.000000000000000,30.000000000000000,1125.000000000000000,4.830000000000000,4.830000000000000,4.920000000000000,4.920000000000000,4.790000000000000,4.960000000000000,4.830000000000000,t,5,5,3,f,t,2,34,1761,-0.880000000000000,-0.710000000000000,-1.590000000000000,2123.240797787075735,4431.912351577854679,44,271.090909090909065,90,19.000000000000000,0
2026,34924092.000000000000000,67763902,100,100.000000000000000,t,t,t,47.628929999999997,-122.309709999999995,9,3.000000000000000,5.000000000000000,5.000000000000000,568.000000000000000,3.000000000000000,1125.000000000000000,4.740000000000000,4.820000000000000,4.530000000000000,5.000000000000000,5.000000000000000,4.950000000000000,4.720000000000000,f,1,5,3,t,t,2,35,2426,-0.450000000000000,-0.070000000000000,-0.520000000000000,2009.793164663335119,3182.380726186597713,19,332.526315789473699,23,16.000000000000000,0
2027,34941478.000000000000000,27712111,0,0.000000000000000,f,t,f,47.690390000000001,-122.302269999999993,6,1.000000000000000,2.000000000000000,3.000000000000000,196.000000000000000,2.200000000000000,1125.000000000000000,4.740000000000000,4.870000000000000,4.780000000000000,4.980000000000000,4.920000000000000,4.740000000000000,4.600000000000000,f,1,1,3,t,t,2,36,2856,0.030000000000000,0.250000000000000,0.280000000000000,2269.845885565321623,9847.729363598606142,11,161.181818181818187,19,6.000000000000000,0
2028,34950265.000000000000000,263359462,100,100.000000000000000,f,t,t,47.541629999999998,-122.287689999999998,2,1.000000000000000,1.000000000000000,1.000000000000000,71.000000000000000,1.000000000000000,1125.000000000000000,4.790000000000000,4.810000000000000,4.870000000000000,4.830000000000000,4.830000000000000,4.770000000000000,4.700000000000000,t,4,5,2,t,f,2,29,1297,-0.600000000000000,-0.390000000000000,-0.990000000000000,2603.644844670964630,7615.201171530370630,17,123.588235294117652,29,5.000000000000000,0
2029,34950524.000000000000000,263359462,100,100.000000000000000,f,t,t,47.540109999999999,-122.287030000000001,2,1.000000000000000,1.000000000000000,1.000000000000000,69.000000000000000,1.000000000000000,1125.000000000000000,4.830000000000000,4.880000000000000,4.910000000000000,4.900000000000000,4.900000000000000,4.780000000000000,4.760000000000000,t,4,5,2,t,f,2,30,1297,-0.440000000000000,-0.810000000000000,-1.250000000000000,2471.798759811176751,7789.525469040432654,19,128.789473684210520,55,6.000000000000000,0
2030,34953309.000000000000000,17079859,100,100.000000000000000,f,t,t,47.694690000000001,-122.324219999999997,2,1.000000000000000,1.000000000000000,1.000000000000000,109.000000000000000,2.000000000000000,1125.000000000000000,5.000000000000000,4.960000000000000,4.930000000000000,5.000000000000000,5.000000000000000,4.890000000000000,4.890000000000000,t,1,5,3,t,t,2,46,3093,-0.830000000000000,0.680000000000000,-0.150000000000000,2897.125694069128713,10111.429354160458388,10,127.500000000000000,14,6.000000000000000,0
2031,34955557.000000000000000,216085749,0,0.000000000000000,f,t,t,47.684790000000000,-122.370959999999997,4,1.000000000000000,0.000000000000000,2.000000000000000,200.000000000000000,2.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,4.980000000000000,4.980000000000000,4.880000000000000,4.980000000000000,f,1,1,3,t,f,2,55,1543,-0.560000000000000,1.110000000000000,0.550000000000000,2154.151939416772620,9511.264024210091520,25,155.759999999999991,7,9.000000000000000,0
