id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,license_tf,response_time_num,host_verifications_num,amenities_num,book_30,pop_past,pop_future,popularity,relative_meanprice,relative_price,type_num,host_duration
18808283,130936311,100,71.0,t,f,f,4,1,2.0,2.0,140.0,7.0,180.0,2,4.88,4.97,4.97,5.0,5.0,4.83,4.69,f,1,0.49,f,5,3,29,28,-0.79,0.81,0.020000000000000018,197.32258064516128,-57.32258064516128,3,2027
18809004,130945609,0,0.0,f,t,t,4,1.5,1.0,2.0,139.0,30.0,1125.0,0,4.7,4.85,4.78,4.88,4.94,4.84,4.84,t,1,0.88,f,1,3,39,30,-0.61,1.03,0.42000000000000004,169.8125,-30.8125,3,2027
18823333,16063650,100,100.0,t,t,t,10,3,5.0,8.0,613.0,6.0,1125.0,0,5.0,5.0,5.0,5.0,5.0,4.89,4.78,t,2,0.19,f,5,2,26,30,-0.93,1.03,0.09999999999999998,175.2962962962963,437.7037037037037,3,3114
18849203,17269911,100,100.0,t,t,t,16,4,6.0,10.0,717.0,1.1,1125.0,0,4.85,4.91,4.74,4.98,4.96,4.96,4.67,t,6,0.74,f,5,2,47,30,-0.67,1.03,0.36,183.38888888888889,533.6111111111111,3,2554
18858940,347674,0,0.0,f,t,t,2,1,1.0,1.0,85.0,30.0,1125.0,0,4.71,4.93,4.69,4.96,4.93,4.82,4.75,t,1,1.36,f,1,2,31,30,-0.38,1.03,0.65,186.0,-101.0,3,4343
18871432,23165254,100,98.0,f,t,t,8,2,3.0,4.0,341.0,1.0,365.0,18,4.49,4.38,4.78,4.73,4.8,4.95,4.32,t,10,1.4,f,5,3,34,12,-0.36,-0.92,-1.28,212.0096618357488,128.9903381642512,3,2958
18876264,23165254,100,98.0,f,t,t,8,2,3.0,5.0,337.0,1.0,365.0,18,4.43,4.4,4.62,4.43,4.6,4.85,4.35,t,10,1.56,f,5,3,33,12,-0.28,-0.92,-1.2000000000000002,200.12105263157895,136.87894736842105,3,2958
18879484,32138006,100,91.0,f,t,t,4,1,1.0,1.0,131.0,1.0,1125.0,25,4.73,4.83,4.9,4.94,4.91,4.86,4.76,f,1,2.23,f,5,2,25,5,0.03,-1.67,-1.64,144.68421052631578,-13.68421052631578,3,2778
18895355,131674050,100,99.0,t,t,t,2,1,,2.0,159.0,4.0,1125.0,5,4.89,4.93,4.89,4.9,4.95,4.96,4.81,f,1,4.97,f,5,2,33,25,1.33,0.49,1.82,198.81578947368422,-39.81578947368422,3,2022
18934440,34298557,0,100.0,t,t,t,2,1,1.0,1.0,127.0,30.0,1125.0,5,4.97,5.0,5.0,4.99,4.99,4.97,4.91,f,1,1.62,f,1,2,34,25,-0.26,0.49,0.22999999999999998,148.22222222222223,-21.22222222222223,3,2750
18943180,44468800,100,100.0,f,t,t,4,1,1.0,2.0,90.0,30.0,1125.0,30,4.62,4.79,4.79,4.98,4.96,4.95,4.56,f,3,2.18,f,5,3,44,0,0.01,-2.21,-2.2,209.8409090909091,-119.8409090909091,3,2636
18945014,4037804,100,95.0,t,t,t,1,1,1.0,1.0,143.0,1.3,1125.0,15,4.92,4.92,4.92,5.0,5.0,4.81,4.85,f,2,0.41,f,5,2,49,15,-0.83,-0.59,-1.42,119.8,23.200000000000003,2,3685
18949136,918867,100,100.0,f,t,f,3,1,1.0,2.0,147.0,2.0,1125.0,0,4.83,4.91,4.83,4.95,5.0,4.87,4.86,f,1,1.87,f,5,2,38,30,-0.14,1.03,0.89,168.4,-21.400000000000006,3,4142
18979238,2309350,0,100.0,t,t,t,4,1.5,2.0,3.0,130.0,30.0,1125.0,17,4.82,4.88,4.96,4.88,4.94,4.81,4.83,t,2,0.77,t,1,2,30,13,-0.66,-0.81,-1.4700000000000002,188.63636363636363,-58.636363636363626,3,3864
18979781,31604886,100,99.0,t,t,t,3,1,1.0,1.0,195.0,2.0,1125.0,5,4.97,5.0,4.99,4.97,4.99,4.97,4.9,t,1,4.9,f,5,2,18,25,1.3,0.49,1.79,202.11184210526315,-7.11184210526315,3,2786
18994983,29003959,100,100.0,t,t,t,8,2,3.0,3.0,292.0,2.4,1125.0,12,4.95,4.96,4.98,5.0,4.98,4.86,4.91,t,1,4.11,f,5,2,21,18,0.92,-0.27,0.65,177.77272727272728,114.22727272727272,3,2829
18996968,3653501,100,100.0,t,t,t,3,1,1.0,2.0,80.0,3.0,1125.0,0,4.97,4.98,4.99,5.0,4.99,4.93,4.95,t,1,2.9,f,5,2,49,30,0.35,1.03,1.38,247.46153846153845,-167.46153846153845,3,3725
19018523,204886779,0,0.0,f,t,f,5,1,2.0,3.0,223.0,3.0,1125.0,0,4.84,4.89,4.82,4.98,4.95,4.75,4.75,t,10,1.18,f,1,2,21,30,-0.46,1.03,0.5700000000000001,155.88888888888889,67.11111111111111,3,1595
19055403,133015453,100,100.0,t,t,f,3,1,1.0,3.0,138.0,6.0,1125.0,0,4.82,4.85,4.72,4.96,4.94,4.88,4.88,f,1,1.62,f,5,2,50,30,-0.26,1.03,0.77,205.8181818181818,-67.81818181818181,3,2013
19100455,4137246,100,99.0,t,t,t,2,1,1.0,1.0,134.0,3.2,1125.0,13,4.95,4.99,4.97,4.97,4.96,4.81,4.94,f,2,3.26,f,5,2,47,17,0.52,-0.38,0.14,119.7,14.299999999999997,3,3674
19115007,29664875,100,99.0,t,t,t,4,1,1.0,1.0,124.0,1.0,1125.0,0,4.91,4.91,4.96,4.98,4.98,4.86,4.86,f,1,2.88,f,5,2,22,30,0.34,1.03,1.37,290.0,-166.0,3,2817
19125238,29666316,100,100.0,t,t,t,3,1,1.0,1.0,144.0,2.0,1125.0,9,5.0,5.0,4.8,5.0,5.0,4.7,4.8,t,10,5.36,f,5,3,46,21,1.52,0.05,1.57,176.375,-32.375,3,2817
19161696,133990571,100,100.0,f,t,t,5,1.5,1.0,1.0,250.0,2.0,1125.0,4,4.79,4.74,4.84,5.0,5.0,4.88,4.76,f,1,0.3,f,4,1,39,26,-0.88,0.59,-0.29000000000000004,232.71428571428572,17.285714285714278,3,2007
19176003,10534771,80,91.0,t,t,t,2,1,,1.0,81.0,180.0,1125.0,17,,,,,,,,f,2,0.0,t,4,2,10,13,-1.02,-0.81,-1.83,347.6363636363636,-266.6363636363636,3,3283
19180196,453540,100,100.0,f,t,t,7,2.5,4.0,4.0,320.0,30.0,150.0,30,5.0,5.0,5.0,5.0,5.0,4.75,4.88,f,4,0.13,t,4,3,57,0,-0.96,-2.21,-3.17,149.23529411764707,170.76470588235293,3,4278
19229958,20130582,95,99.0,t,t,t,2,1,,1.0,90.0,1.0,1125.0,5,4.82,4.92,4.96,4.98,4.95,4.93,4.66,f,2,5.86,f,5,2,43,25,1.75,0.49,2.24,204.16326530612244,-114.16326530612244,3,3033
19274366,15732960,0,0.0,f,t,t,6,3,3.0,3.0,525.0,14.0,90.0,27,4.88,4.75,4.94,4.81,4.88,4.94,4.75,f,1,0.27,f,1,2,30,3,-0.9,-1.89,-2.79,178.6315789473684,346.36842105263156,3,3122
19316928,135299109,100,100.0,f,t,t,6,1,2.0,2.0,119.0,3.0,1125.0,0,4.69,4.69,4.77,4.92,4.69,4.83,4.67,t,1,0.21,f,5,2,37,30,-0.92,1.03,0.10999999999999999,142.73076923076923,-23.730769230769226,3,1999
19336206,6495905,100,100.0,t,t,t,3,1,1.0,1.0,139.0,1.3,1125.0,5,4.91,4.89,5.0,4.99,4.99,4.9,4.82,f,1,2.19,f,5,3,53,25,0.01,0.49,0.5,189.57894736842104,-50.57894736842104,3,3485
19350610,3074414,94,95.0,f,t,t,3,1,1.0,2.0,120.0,20.0,1125.0,1,4.0,4.55,4.58,4.73,4.91,4.45,4.27,f,115,0.19,f,4,2,37,29,-0.93,0.92,-0.010000000000000009,127.78125,-7.78125,3,3783
19357083,54669634,100,100.0,f,t,f,2,1.5,1.0,1.0,92.0,1.0,8.0,28,4.76,4.88,4.54,4.91,4.94,4.71,4.8,f,8,2.28,f,5,2,17,2,0.06,-2.0,-1.94,136.88888888888889,-44.888888888888886,2,2517
19360673,135690660,100,100.0,t,t,t,3,1,1.0,2.0,132.0,3.0,14.0,0,4.88,4.94,4.96,4.97,4.96,4.91,4.84,f,1,1.85,f,5,2,37,30,-0.15,1.03,0.88,121.5,10.5,3,1996
19366629,52542927,100,88.0,t,t,t,2,1,,1.0,80.0,2.0,14.0,0,4.95,4.96,5.0,5.0,4.99,4.78,4.86,f,1,1.74,f,5,2,23,30,-0.2,1.03,0.8300000000000001,175.13333333333333,-95.13333333333333,3,2534
19386335,85076667,100,100.0,t,t,t,2,2,1.0,1.0,69.0,30.0,365.0,30,4.83,4.89,4.75,4.98,4.98,4.91,4.74,t,10,0.85,t,5,2,26,0,-0.62,-2.21,-2.83,187.38888888888889,-118.38888888888889,2,2328
19386722,85076667,100,100.0,t,t,t,1,1.5,1.0,1.0,59.0,30.0,1125.0,30,4.78,4.89,4.22,4.89,4.89,4.67,4.89,t,10,0.14,t,5,2,11,0,-0.96,-2.21,-3.17,203.87755102040816,-144.87755102040816,1,2328
19386894,85076667,100,100.0,t,t,t,2,2,1.0,1.0,59.0,30.0,365.0,30,4.61,4.72,4.58,4.91,4.86,4.74,4.5,t,10,0.56,t,5,2,25,0,-0.76,-2.21,-2.9699999999999998,190.69387755102042,-131.69387755102042,2,2328
19414289,27066609,100,100.0,f,t,f,2,1,1.0,1.0,91.0,30.0,1125.0,0,4.7,4.7,4.4,4.8,4.9,5.0,4.7,f,1,0.2,f,4,2,32,30,-0.93,1.03,0.09999999999999998,162.64705882352942,-71.64705882352942,3,2864
19419602,41947998,100,100.0,t,t,t,4,1,1.0,1.0,225.0,30.0,1125.0,26,4.88,4.96,4.84,4.84,4.88,4.92,4.84,t,1,0.49,t,5,2,48,4,-0.79,-1.78,-2.5700000000000003,239.11764705882354,-14.117647058823536,3,2665
19438023,27322459,100,81.0,t,t,t,5,2,2.0,2.0,137.0,30.0,1125.0,0,4.79,4.79,4.89,4.9,4.95,4.93,4.68,f,2,0.97,t,5,2,37,30,-0.56,1.03,0.47,134.0612244897959,2.9387755102040956,3,2859
19438269,4244769,100,100.0,t,t,t,2,1,,1.0,154.0,1.0,1125.0,9,4.97,4.99,4.95,4.96,5.0,4.92,4.92,t,1,11.54,f,5,2,46,21,4.45,0.05,4.5,178.88235294117646,-24.882352941176464,3,3661
19493701,85076667,100,100.0,t,t,t,2,1.5,1.0,1.0,59.0,30.0,1125.0,30,4.83,4.67,4.17,4.83,4.83,4.83,4.67,t,10,0.1,t,5,2,5,0,-0.98,-2.21,-3.19,176.72727272727272,-117.72727272727272,2,2328
19501685,6171087,100,96.0,t,t,t,5,1,2.0,2.0,139.0,30.0,1125.0,19,4.84,4.81,4.86,4.9,4.92,4.9,4.67,t,2,1.55,f,5,2,44,11,-0.29,-1.03,-1.32,171.1818181818182,-32.18181818181819,2,3506
19507808,12194562,100,98.0,t,t,t,2,1,1.0,1.0,103.0,2.0,14.0,19,4.94,5.0,4.97,4.97,4.97,4.75,4.91,f,1,2.41,f,4,2,27,11,0.12,-1.03,-0.91,184.55555555555554,-81.55555555555554,2,3218
19508222,44113701,100,100.0,f,t,t,2,1,,1.0,134.0,2.0,1125.0,0,4.94,4.98,4.95,4.95,4.97,4.94,4.78,t,1,2.45,f,5,2,22,30,0.14,1.03,1.17,173.6,-39.599999999999994,3,2640
19528362,135583295,100,98.0,f,t,t,5,2.5,2.0,2.0,225.0,30.0,1125.0,5,4.79,4.84,4.65,5.0,4.95,4.86,4.81,t,2,0.7,f,5,2,62,25,-0.69,0.49,-0.19999999999999996,175.5,49.5,3,1997
19532499,5167419,100,100.0,t,t,t,4,1,1.0,2.0,93.0,30.0,1125.0,0,4.95,4.94,5.0,4.97,4.98,4.8,4.9,f,1,1.85,f,3,2,53,30,-0.15,1.03,0.88,247.4,-154.4,3,3575
19543829,22121954,100,100.0,t,t,f,2,1,1.0,1.0,116.0,1.0,1125.0,13,4.79,4.91,4.83,4.95,4.95,4.87,4.78,t,1,3.73,f,5,2,36,17,0.74,-0.38,0.36,218.72727272727272,-102.72727272727272,2,2984
19553691,7635363,100,94.0,f,t,t,2,1,1.0,1.0,186.0,3.0,1125.0,12,4.88,4.76,5.0,4.67,4.76,4.79,4.5,f,1,0.4,f,5,3,41,18,-0.83,-0.27,-1.1,148.68,37.31999999999999,3,3424
19566387,18973577,0,0.0,f,t,t,1,1,1.0,1.0,80.0,30.0,1125.0,0,4.6,4.8,4.67,4.97,4.87,4.86,4.72,f,1,0.47,t,1,2,18,30,-0.8,1.03,0.22999999999999998,147.69565217391303,-67.69565217391303,2,3053
19589907,33776918,100,100.0,f,t,t,4,2,2.0,2.0,232.0,3.2,1125.0,14,4.97,5.0,4.93,5.0,5.0,4.67,4.87,f,1,5.39,f,5,2,55,16,1.53,-0.49,1.04,144.58333333333334,87.41666666666666,3,2757
19591463,116740214,98,97.0,t,t,t,2,1,1.0,1.0,112.0,2.3,1125.0,1,4.93,4.91,4.94,4.95,4.97,4.83,4.93,f,8,5.79,f,5,3,24,29,1.72,0.92,2.64,177.625,-65.625,3,2118
19594064,903177,100,100.0,t,t,t,2,1,1.0,1.0,71.0,1.0,14.0,1,4.84,4.9,4.88,4.99,4.99,4.93,4.84,f,1,1.29,f,5,2,32,29,-0.41,0.92,0.51,115.70967741935483,-44.70967741935483,2,4144
19626395,52640557,100,100.0,f,t,t,6,1.5,3.0,3.0,191.0,30.0,1125.0,6,4.98,4.97,4.98,4.96,4.97,4.99,4.86,t,1,3.03,f,4,3,44,24,0.41,0.38,0.79,198.82051282051282,-7.820512820512818,3,2533
19629725,160477510,0,0.0,f,t,t,2,1,1.0,1.0,90.0,30.0,190.0,0,4.89,4.8,4.8,4.8,4.83,4.77,4.8,f,1,0.55,t,1,2,31,30,-0.76,1.03,0.27,149.76923076923077,-59.769230769230774,3,1833
19635987,135304150,100,97.0,f,t,f,2,1,1.0,1.0,89.0,30.0,1125.0,0,4.76,4.94,4.76,4.88,4.88,5.0,4.76,t,1,0.29,f,5,2,18,30,-0.89,1.03,0.14,190.86666666666667,-101.86666666666667,2,1999
19640055,138214686,100,0.0,f,t,f,2,1,1.0,1.0,67.0,30.0,90.0,0,4.81,4.93,4.74,4.92,4.96,4.79,4.79,t,1,0.43,t,5,2,21,30,-0.82,1.03,0.21000000000000008,200.3684210526316,-133.3684210526316,2,1982
19697895,336506,100,100.0,t,t,t,4,2,2.0,2.0,213.0,2.0,1125.0,7,4.99,4.98,5.0,5.0,5.0,4.78,4.94,f,1,2.23,f,5,2,21,23,0.03,0.27,0.30000000000000004,211.75,1.25,3,4352
19699462,22027933,100,98.0,t,t,t,4,1,2.0,2.0,146.0,1.0,28.0,9,4.96,4.97,4.96,4.99,4.99,4.94,4.92,t,1,9.76,f,5,2,42,21,3.6,0.05,3.65,242.92307692307693,-96.92307692307693,3,2987
19721795,8677106,100,100.0,t,t,t,5,1,3.0,3.0,275.0,3.0,1125.0,14,4.96,4.93,5.0,5.0,5.0,4.96,5.0,f,1,2.65,f,5,2,46,16,0.23,-0.49,-0.26,321.6341463414634,-46.634146341463406,3,3377
