id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,license_tf,response_time_num,host_verifications_num,amenities_num,pop_past,pop_future,popularity,relative_meanprice,relative_price,type_num,host_location_tf,host_duration,cluster_id
18228390,6985440,0,0.0,f,t,t,6,1.5,3.0,4.0,234.0,3.0,1125.0,4.93,5.0,5.0,5.0,5.0,4.93,4.86,f,1,t,1,2,70,-0.71,-0.59,-1.2999999999999998,138.82142857142858,95.17857142857142,3,t,3457,1
18237332,1318247,100,97.0,t,t,t,4,1.0,1.0,2.0,217.0,2.2,160.0,4.93,4.95,4.99,4.96,4.93,4.89,4.8,t,2,t,5,2,57,-0.42,-0.05,-0.47,174.74193548387098,42.25806451612903,3,t,4063,1
18250300,126116834,100,72.0,t,t,t,3,1.0,1.0,2.0,100.0,30.0,90.0,4.94,4.98,4.83,4.96,4.98,4.95,4.82,f,2,t,3,3,33,-0.67,-0.16,-0.8300000000000001,124.25,-24.25,3,t,2059,0
18266409,47332984,100,100.0,t,t,t,4,1.0,1.0,1.0,115.0,30.0,1125.0,4.81,4.85,4.67,4.94,4.94,4.86,4.66,f,5,f,5,3,35,0.2,-0.27,-0.07,207.0,-92.0,3,t,2599,0
18322559,13833,75,0.0,f,t,t,4,2.0,2.0,2.0,180.0,30.0,250.0,,,,,,,,f,1,f,3,2,21,-1.02,1.03,0.01,153.16666666666666,26.833333333333343,3,t,4980,0
18325583,107834755,100,95.0,f,t,t,6,2.0,3.0,3.0,210.0,3.0,1125.0,4.94,4.94,4.95,4.96,4.99,4.92,4.8,f,1,t,5,2,33,-0.36,-0.05,-0.41,181.0,29.0,3,f,2177,0
18329286,20045693,100,100.0,t,t,t,4,1.0,1.0,1.0,190.0,4.0,1125.0,4.96,4.97,4.97,4.99,4.97,4.92,4.85,f,1,t,5,3,51,-0.16,0.49,0.3299999999999999,177.2258064516129,12.774193548387103,3,t,3034,0
18331755,15502197,100,87.0,f,t,t,6,1.0,2.0,3.0,212.0,30.0,1000.0,4.95,5.0,4.86,4.95,5.0,5.0,4.76,f,6,t,4,2,50,-0.86,-1.03,-1.89,184.25531914893617,27.744680851063837,3,t,3127,0
18348358,5101107,100,100.0,t,t,t,2,1.5,1.0,1.0,79.0,3.0,1106.3,4.97,5.0,5.0,4.99,4.99,4.89,4.97,f,2,t,5,3,71,-0.4,-0.27,-0.67,187.7,-108.7,2,t,3580,0
18349381,3074414,94,95.0,f,t,t,4,1.0,2.0,2.0,135.0,2.0,1125.0,4.5,4.5,4.5,4.57,4.64,4.79,4.57,f,115,t,4,2,36,-0.91,0.59,-0.32,130.84375,4.15625,3,t,3783,0
18358544,8117628,100,99.0,t,t,t,3,1.0,1.0,2.0,124.0,2.0,800.4,4.86,4.96,4.92,4.98,4.96,4.92,4.89,t,1,t,5,3,36,0.29,0.27,0.56,185.6,-61.6,3,t,3402,0
18378437,6178440,100,100.0,f,t,t,8,3.5,4.0,4.0,861.0,3.0,10.0,,,,,,,,f,1,t,4,2,63,-1.02,-0.38,-1.4,207.26470588235293,653.7352941176471,3,t,3505,2
18409620,13379818,0,100.0,t,t,t,2,1.0,1.0,1.0,88.0,2.4,1125.0,4.96,4.94,4.96,4.97,4.99,4.93,4.95,f,1,t,1,2,27,-0.15,0.16,0.01,193.96,-105.96,3,t,3181,0
18414350,127598952,100,100.0,t,t,t,2,1.0,1.0,2.0,87.0,3.0,1125.0,4.98,4.99,5.0,4.99,4.99,4.96,4.95,t,1,t,5,2,40,0.76,1.03,1.79,268.09090909090907,-181.0909090909091,3,t,2050,0
18430634,18342756,100,94.0,t,t,t,4,1.0,2.0,2.0,245.0,5.0,21.0,4.92,4.94,5.0,4.92,4.94,5.0,4.81,f,2,t,4,2,49,-0.56,-1.13,-1.69,233.0344827586207,11.965517241379304,3,t,3062,1
18451722,52272417,99,100.0,f,t,t,2,1.0,0.0,2.0,165.0,1.0,1125.0,4.64,4.7,4.63,4.9,4.92,4.85,4.52,t,3,t,5,2,25,1.63,-1.13,0.5,192.92222222222225,-27.922222222222217,3,t,2536,0
18477502,81881929,100,99.0,t,t,t,10,3.5,4.0,5.0,274.0,1.6,1125.0,4.97,4.95,4.95,4.96,4.99,4.93,4.87,t,1,t,5,2,45,1.47,0.49,1.96,203.56896551724137,70.43103448275863,3,t,2344,1
18478643,31747288,100,88.0,f,t,t,4,2.0,2.0,2.0,160.0,3.0,12.0,4.8,4.92,4.72,4.92,5.0,4.8,4.72,f,1,t,4,2,39,-0.83,1.03,0.2,151.9,8.099999999999994,3,t,2784,0
18485076,76581967,100,100.0,t,t,t,4,1.0,1.0,1.0,186.0,2.0,1113.3,4.99,5.0,5.0,5.0,5.0,4.93,4.89,t,1,t,5,2,23,0.16,0.05,0.21,196.55882352941177,-10.558823529411768,3,t,2371,0
18491600,108053175,100,100.0,t,t,t,3,1.0,1.0,1.0,137.0,1.9,1125.0,4.97,5.0,4.99,4.99,4.99,4.96,4.93,t,2,t,5,2,44,2.1,0.59,2.69,213.5185185185185,-76.5185185185185,3,t,2175,0
18491674,108053175,100,100.0,t,t,t,3,1.0,1.0,1.0,124.0,1.9,12.0,4.98,4.99,4.98,4.99,4.99,4.97,4.93,t,2,t,5,2,50,1.6,0.92,2.52,209.03333333333333,-85.03333333333333,3,t,2175,0
18491733,116124281,100,96.0,t,t,t,2,1.0,1.0,2.0,127.0,1.0,1125.0,4.84,4.93,4.76,4.99,4.96,4.78,4.74,t,1,t,5,2,41,0.4,-0.05,0.35,183.3181818181818,-56.31818181818181,3,t,2122,0
18492251,3074414,94,95.0,f,t,t,2,1.0,0.0,1.0,120.0,1.0,1125.0,4.21,4.57,4.57,4.43,4.5,4.5,4.43,f,115,t,4,2,38,-0.51,0.7,0.1899999999999999,122.89473684210526,-2.89473684210526,3,t,3783,0
18504533,117993648,100,100.0,t,t,t,4,1.0,1.0,2.0,154.0,2.0,30.0,4.76,4.88,4.7,4.96,4.94,4.78,4.83,f,1,t,5,2,48,1.0,-0.7,0.3,123.6,30.40000000000001,3,t,2110,0
18507422,6746292,100,95.0,t,t,f,4,2.0,2.0,3.0,688.0,1.3,1125.0,4.81,4.92,4.89,4.99,4.94,4.94,4.81,f,3,t,5,3,15,0.82,1.03,1.85,361.3589743589744,326.64102564102564,3,f,3470,2
18522787,41180792,0,0.0,f,t,t,2,1.0,1.0,1.0,146.0,1.0,1125.0,4.46,4.79,4.63,4.96,4.88,4.83,4.29,f,2,t,1,3,34,-0.84,-0.38,-1.22,141.6,4.400000000000006,3,t,2673,0
18529198,84891625,100,86.0,t,t,t,3,1.0,2.0,5.0,140.0,30.0,180.0,4.48,4.72,4.24,4.96,5.0,4.71,4.32,f,2,t,5,2,31,-0.81,1.03,0.2199999999999999,120.13636363636364,19.86363636363636,3,t,2329,0
18630803,17162606,100,100.0,t,t,f,2,1.0,1.0,1.0,145.0,2.0,1125.0,4.94,4.96,4.97,5.0,4.99,4.88,4.91,t,1,t,5,2,44,0.47,-0.16,0.3099999999999999,128.57142857142858,16.428571428571416,3,t,3087,0
18633109,105567017,100,100.0,f,t,f,4,1.0,1.0,3.0,93.0,30.0,1125.0,4.95,4.97,4.95,5.0,4.97,4.95,5.0,t,1,f,5,1,33,-0.69,1.03,0.3400000000000001,96.77777777777776,-3.777777777777772,3,t,2197,0
18635270,95016161,100,100.0,t,t,t,10,3.5,5.0,5.0,756.0,2.0,1125.0,4.95,5.0,5.0,5.0,5.0,5.0,4.95,t,1,t,5,2,40,-0.72,-0.7,-1.42,330.25,425.75,3,f,2274,2
18636268,14062900,100,100.0,t,t,t,5,1.0,3.0,4.0,314.0,2.4,1125.0,4.82,4.85,4.89,4.9,4.93,4.7,4.68,t,4,t,5,2,45,-0.57,1.03,0.4600000000000001,188.92307692307693,125.07692307692308,3,t,3163,1
18637918,3557909,100,98.0,f,t,t,2,1.0,1.0,2.0,159.0,2.0,1125.0,4.7,4.82,4.67,4.95,4.87,4.92,4.62,t,2,t,5,2,34,0.67,0.7,1.37,185.04761904761904,-26.04761904761904,3,t,3735,0
18638163,39075448,100,100.0,t,t,t,2,1.0,0.0,2.0,136.0,3.0,1125.0,4.87,4.94,4.99,4.96,5.0,4.95,4.91,t,1,t,5,2,20,0.14,0.27,0.41,166.91666666666666,-30.916666666666657,3,t,2695,0
18672990,1838818,100,100.0,t,t,t,4,1.0,0.0,2.0,167.0,2.0,1125.0,4.87,4.92,4.91,4.97,4.96,4.84,4.75,f,6,t,4,3,23,0.37,-0.38,-0.01,156.83333333333334,10.166666666666655,3,t,3931,0
18673405,14062900,100,100.0,t,t,t,5,1.0,2.0,2.0,371.0,2.4,1125.0,4.8,4.87,4.84,4.96,4.98,4.75,4.71,t,4,t,5,2,55,-0.06,1.03,0.97,174.48888888888888,196.51111111111112,3,t,3163,1
18673495,14062900,100,100.0,t,t,t,5,1.0,2.0,5.0,289.0,2.4,1125.0,4.72,4.78,4.83,4.97,4.9,4.58,4.58,t,4,t,5,2,42,-0.58,1.03,0.45,174.48888888888888,114.51111111111112,3,t,3163,1
18690558,53552204,100,99.0,t,t,t,1,1.5,1.0,1.0,114.0,1.0,1125.0,4.64,4.82,4.62,4.91,4.83,4.76,4.66,t,5,t,5,2,44,-0.45,1.03,0.5800000000000001,144.0487804878049,-30.04878048780489,2,t,2525,0
18728930,17269911,100,100.0,t,t,t,4,1.0,2.0,2.0,155.0,1.0,1125.0,4.77,4.92,4.78,4.97,4.96,4.92,4.82,t,6,t,5,2,42,2.37,0.81,3.18,181.94444444444449,-26.944444444444457,3,t,2554,0
18737568,17269911,100,100.0,t,t,t,2,1.0,0.0,2.0,116.0,1.0,1125.0,4.74,4.8,4.76,4.94,4.94,4.92,4.73,t,6,t,5,2,35,2.63,1.03,3.66,181.94444444444449,-65.94444444444446,3,t,2554,0
18794925,14062900,100,100.0,t,t,t,12,2.0,4.0,8.0,636.0,2.4,1125.0,4.8,4.6,4.8,5.0,4.6,4.4,4.2,t,4,t,5,2,38,-0.98,1.03,0.05,194.4324324324324,441.5675675675676,3,t,3163,2
18808283,130936311,100,71.0,t,f,f,4,1.0,2.0,2.0,140.0,7.0,180.0,4.88,4.97,4.97,5.0,5.0,4.83,4.69,f,1,t,5,3,29,-0.79,0.81,0.02,197.32258064516128,-57.32258064516128,3,t,2027,0
18809004,130945609,0,0.0,f,t,t,4,1.5,1.0,2.0,139.0,30.0,1125.0,4.7,4.85,4.78,4.88,4.94,4.84,4.84,t,1,t,1,3,39,-0.61,1.03,0.42,169.8125,-30.8125,3,t,2027,0
18823333,16063650,100,100.0,t,t,t,10,3.0,5.0,8.0,613.0,6.0,1125.0,5.0,5.0,5.0,5.0,5.0,4.89,4.78,t,2,t,5,2,26,-0.93,1.03,0.0999999999999999,175.2962962962963,437.7037037037037,3,t,3114,2
18849203,17269911,100,100.0,t,t,t,16,4.0,6.0,10.0,717.0,1.1,1125.0,4.85,4.91,4.74,4.98,4.96,4.96,4.67,t,6,t,5,2,47,-0.67,1.03,0.36,183.38888888888889,533.6111111111111,3,t,2554,2
18858940,347674,0,0.0,f,t,t,2,1.0,1.0,1.0,85.0,30.0,1125.0,4.71,4.93,4.69,4.96,4.93,4.82,4.75,t,1,t,1,2,31,-0.38,1.03,0.65,186.0,-101.0,3,t,4343,0
18871432,23165254,100,98.0,f,t,t,8,2.0,3.0,4.0,341.0,1.0,365.0,4.49,4.38,4.78,4.73,4.8,4.95,4.32,t,10,t,5,3,34,-0.36,-0.92,-1.28,212.0096618357488,128.9903381642512,3,t,2958,1
18876264,23165254,100,98.0,f,t,t,8,2.0,3.0,5.0,337.0,1.0,365.0,4.43,4.4,4.62,4.43,4.6,4.85,4.35,t,10,t,5,3,33,-0.28,-0.92,-1.2000000000000002,200.12105263157892,136.87894736842105,3,t,2958,1
18879484,32138006,100,91.0,f,t,t,4,1.0,1.0,1.0,131.0,1.0,1125.0,4.73,4.83,4.9,4.94,4.91,4.86,4.76,f,1,t,5,2,25,0.03,-1.67,-1.64,144.68421052631578,-13.68421052631578,3,t,2778,0
18895355,131674050,100,99.0,t,t,t,2,1.0,0.0,2.0,159.0,4.0,1125.0,4.89,4.93,4.89,4.9,4.95,4.96,4.81,f,1,t,5,2,33,1.33,0.49,1.82,198.81578947368425,-39.81578947368422,3,f,2022,0
18934440,34298557,0,100.0,t,t,t,2,1.0,1.0,1.0,127.0,30.0,1125.0,4.97,5.0,5.0,4.99,4.99,4.97,4.91,f,1,t,1,2,34,-0.26,0.49,0.2299999999999999,148.22222222222223,-21.22222222222223,3,t,2750,0
18943180,44468800,100,100.0,f,t,t,4,1.0,1.0,2.0,90.0,30.0,1125.0,4.62,4.79,4.79,4.98,4.96,4.95,4.56,f,3,t,5,3,44,0.01,-2.21,-2.2,209.8409090909091,-119.8409090909091,3,f,2636,0
18945014,4037804,100,95.0,t,t,t,1,1.0,1.0,1.0,143.0,1.3,1125.0,4.92,4.92,4.92,5.0,5.0,4.81,4.85,f,2,t,5,2,49,-0.83,-0.59,-1.42,119.8,23.200000000000003,2,t,3685,0
18949136,918867,100,100.0,f,t,f,3,1.0,1.0,2.0,147.0,2.0,1125.0,4.83,4.91,4.83,4.95,5.0,4.87,4.86,f,1,t,5,2,38,-0.14,1.03,0.89,168.4,-21.40000000000001,3,t,4142,0
18979238,2309350,0,100.0,t,t,t,4,1.5,2.0,3.0,130.0,30.0,1125.0,4.82,4.88,4.96,4.88,4.94,4.81,4.83,t,2,f,1,2,30,-0.66,-0.81,-1.4700000000000002,188.63636363636363,-58.636363636363626,3,t,3864,0
18979781,31604886,100,99.0,t,t,t,3,1.0,1.0,1.0,195.0,2.0,1125.0,4.97,5.0,4.99,4.97,4.99,4.97,4.9,t,1,t,5,2,18,1.3,0.49,1.79,202.11184210526315,-7.11184210526315,3,t,2786,0
18994983,29003959,100,100.0,t,t,t,8,2.0,3.0,3.0,292.0,2.4,1125.0,4.95,4.96,4.98,5.0,4.98,4.86,4.91,t,1,t,5,2,21,0.92,-0.27,0.65,177.77272727272728,114.22727272727272,3,t,2829,1
18996968,3653501,100,100.0,t,t,t,3,1.0,1.0,2.0,80.0,3.0,1125.0,4.97,4.98,4.99,5.0,4.99,4.93,4.95,t,1,t,5,2,49,0.35,1.03,1.38,247.46153846153845,-167.46153846153845,3,t,3725,0
19018523,204886779,0,0.0,f,t,f,5,1.0,2.0,3.0,223.0,3.0,1125.0,4.84,4.89,4.82,4.98,4.95,4.75,4.75,t,10,t,1,2,21,-0.46,1.03,0.5700000000000001,155.88888888888889,67.11111111111111,3,t,1595,1
19055403,133015453,100,100.0,t,t,f,3,1.0,1.0,3.0,138.0,6.0,1125.0,4.82,4.85,4.72,4.96,4.94,4.88,4.88,f,1,t,5,2,50,-0.26,1.03,0.77,205.8181818181818,-67.81818181818181,3,t,2013,0
19100455,4137246,100,99.0,t,t,t,2,1.0,1.0,1.0,134.0,3.2,1125.0,4.95,4.99,4.97,4.97,4.96,4.81,4.94,f,2,t,5,2,47,0.52,-0.38,0.14,119.7,14.299999999999995,3,t,3674,0
19115007,29664875,100,99.0,t,t,t,4,1.0,1.0,1.0,124.0,1.0,1125.0,4.91,4.91,4.96,4.98,4.98,4.86,4.86,f,1,t,5,2,22,0.34,1.03,1.37,290.0,-166.0,3,t,2817,0
19125238,29666316,100,100.0,t,t,t,3,1.0,1.0,1.0,144.0,2.0,1125.0,5.0,5.0,4.8,5.0,5.0,4.7,4.8,t,10,t,5,3,46,1.52,0.05,1.57,176.375,-32.375,3,t,2817,0
19161696,133990571,100,100.0,f,t,t,5,1.5,1.0,1.0,250.0,2.0,1125.0,4.79,4.74,4.84,5.0,5.0,4.88,4.76,f,1,t,4,1,39,-0.88,0.59,-0.29,232.7142857142857,17.285714285714278,3,t,2007,1
19176003,10534771,80,91.0,t,t,t,2,1.0,0.0,1.0,81.0,180.0,1125.0,,,,,,,,f,2,f,4,2,10,-1.02,-0.81,-1.83,347.6363636363636,-266.6363636363636,3,f,3283,0
19180196,453540,100,100.0,f,t,t,7,2.5,4.0,4.0,320.0,30.0,150.0,5.0,5.0,5.0,5.0,5.0,4.75,4.88,f,4,f,4,3,57,-0.96,-2.21,-3.17,149.23529411764707,170.76470588235293,3,t,4278,1
19229958,20130582,95,99.0,t,t,t,2,1.0,0.0,1.0,90.0,1.0,1125.0,4.82,4.92,4.96,4.98,4.95,4.93,4.66,f,2,t,5,2,43,1.75,0.49,2.24,204.16326530612244,-114.16326530612244,3,t,3033,0
19274366,15732960,0,0.0,f,t,t,6,3.0,3.0,3.0,525.0,14.0,90.0,4.88,4.75,4.94,4.81,4.88,4.94,4.75,f,1,t,1,2,30,-0.9,-1.89,-2.79,178.6315789473684,346.3684210526316,3,f,3122,1
19316928,135299109,100,100.0,f,t,t,6,1.0,2.0,2.0,119.0,3.0,1125.0,4.69,4.69,4.77,4.92,4.69,4.83,4.67,t,1,t,5,2,37,-0.92,1.03,0.1099999999999999,142.73076923076923,-23.730769230769223,3,f,1999,0
19336206,6495905,100,100.0,t,t,t,3,1.0,1.0,1.0,139.0,1.3,1125.0,4.91,4.89,5.0,4.99,4.99,4.9,4.82,f,1,t,5,3,53,0.01,0.49,0.5,189.57894736842104,-50.57894736842104,3,t,3485,0
19350610,3074414,94,95.0,f,t,t,3,1.0,1.0,2.0,120.0,20.0,1125.0,4.0,4.55,4.58,4.73,4.91,4.45,4.27,f,115,t,4,2,37,-0.93,0.92,-0.01,127.78125,-7.78125,3,t,3783,0
19357083,54669634,100,100.0,f,t,f,2,1.5,1.0,1.0,92.0,1.0,8.0,4.76,4.88,4.54,4.91,4.94,4.71,4.8,f,8,t,5,2,17,0.06,-2.0,-1.94,136.88888888888889,-44.888888888888886,2,t,2517,0
